Region,Country,City,Month,Day,Year,AvgTemp (C)
Asia,India,Delhi,5,7,1995,33.5
Asia,India,Delhi,5,8,1995,32
Asia,India,Delhi,5,9,1995,33.56
Asia,India,Delhi,5,10,1995,32.39
Asia,India,Delhi,5,11,1995,33.89
Asia,India,Delhi,5,12,1995,34.72
Asia,India,Delhi,5,13,1995,35.61
Asia,India,Delhi,5,14,1995,35.28
Asia,India,Delhi,5,15,1995,34.83
Asia,India,Delhi,5,16,1995,37.06
Asia,India,Delhi,5,17,1995,36.33
Asia,India,Delhi,5,18,1995,35.11
Asia,India,Delhi,5,19,1995,35.67
Asia,India,Delhi,5,20,1995,35.61
Asia,India,Delhi,5,21,1995,35
Asia,India,Delhi,5,22,1995,33.94
Asia,India,Delhi,5,23,1995,32.78
Asia,India,Delhi,5,24,1995,33.11
Asia,India,Delhi,5,25,1995,32.89
Asia,India,Delhi,5,26,1995,33.94
Asia,India,Delhi,5,27,1995,34.83
Asia,India,Delhi,5,28,1995,34.83
Asia,India,Delhi,5,29,1995,34.67
Asia,India,Delhi,5,30,1995,35.78
Asia,India,Delhi,5,31,1995,36.39
Asia,India,Delhi,6,1,1995,36.78
Asia,India,Delhi,6,2,1995,38.72
Asia,India,Delhi,6,3,1995,37.72
Asia,India,Delhi,6,4,1995,38.39
Asia,India,Delhi,6,5,1995,37.28
Asia,India,Delhi,6,6,1995,36.94
Asia,India,Delhi,6,7,1995,37.83
Asia,India,Delhi,6,8,1995,37.72
Asia,India,Delhi,6,9,1995,38.83
Asia,India,Delhi,6,10,1995,38.17
Asia,India,Delhi,6,11,1995,37.94
Asia,India,Delhi,6,12,1995,38.28
Asia,India,Delhi,6,13,1995,38.17
Asia,India,Delhi,6,14,1995,39.33
Asia,India,Delhi,6,15,1995,39.39
Asia,India,Delhi,6,16,1995,39.06
Asia,India,Delhi,6,17,1995,38.83
Asia,India,Delhi,6,18,1995,36.83
Asia,India,Delhi,6,19,1995,31.11
Asia,India,Delhi,6,20,1995,27.5
Asia,India,Delhi,6,21,1995,28.28
Asia,India,Delhi,6,22,1995,26.17
Asia,India,Delhi,6,23,1995,30.11
Asia,India,Delhi,6,24,1995,32.72
Asia,India,Delhi,6,25,1995,34.11
Asia,India,Delhi,6,26,1995,34.72
Asia,India,Delhi,6,27,1995,33.17
Asia,India,Delhi,6,28,1995,31.94
Asia,India,Delhi,6,29,1995,33.17
Asia,India,Delhi,6,30,1995,34.61
Asia,India,Delhi,7,1,1995,34.33
Asia,India,Delhi,7,2,1995,36.22
Asia,India,Delhi,7,3,1995,34.5
Asia,India,Delhi,7,4,1995,36.28
Asia,India,Delhi,7,5,1995,34.67
Asia,India,Delhi,7,6,1995,35.78
Asia,India,Delhi,7,7,1995,35.56
Asia,India,Delhi,7,8,1995,33.11
Asia,India,Delhi,7,9,1995,32.78
Asia,India,Delhi,7,10,1995,31.39
Asia,India,Delhi,7,11,1995,30.33
Asia,India,Delhi,7,12,1995,28.56
Asia,India,Delhi,7,13,1995,31.94
Asia,India,Delhi,7,14,1995,32.28
Asia,India,Delhi,7,15,1995,32
Asia,India,Delhi,7,16,1995,31.61
Asia,India,Delhi,7,17,1995,32.11
Asia,India,Delhi,7,18,1995,26.67
Asia,India,Delhi,7,19,1995,30.72
Asia,India,Delhi,7,20,1995,31.22
Asia,India,Delhi,7,21,1995,32.17
Asia,India,Delhi,7,22,1995,29.39
Asia,India,Delhi,7,23,1995,29.67
Asia,India,Delhi,7,24,1995,30.72
Asia,India,Delhi,7,25,1995,29.33
Asia,India,Delhi,7,26,1995,28.11
Asia,India,Delhi,7,27,1995,28.11
Asia,India,Delhi,7,28,1995,28.56
Asia,India,Delhi,7,29,1995,30.44
Asia,India,Delhi,7,30,1995,31.33
Asia,India,Delhi,7,31,1995,31.33
Asia,India,Delhi,8,1,1995,29.5
Asia,India,Delhi,8,2,1995,28.61
Asia,India,Delhi,8,3,1995,26.06
Asia,India,Delhi,8,4,1995,27.39
Asia,India,Delhi,8,5,1995,28.5
